tecnologia,tempo_ms,tamanho_bytes
REST,0.667100,329
GraphQL,1.111400,55
REST,0.723000,325
GraphQL,1.268800,53
REST,0.964500,332
GraphQL,1.034200,57
REST,0.771600,326
GraphQL,0.928100,57
REST,0.722700,323
GraphQL,0.896000,53
REST,0.935000,322
GraphQL,1.222400,53
REST,0.736800,324
GraphQL,0.955500,52
REST,0.727300,320
GraphQL,1.098000,53
REST,0.868800,321
GraphQL,1.559400,50
REST,1.036100,323
GraphQL,1.267600,53
REST,0.849500,328
GraphQL,1.232900,56
REST,0.937200,325
GraphQL,1.600600,52
REST,1.066000,330
GraphQL,1.331200,56
REST,1.118400,325
GraphQL,1.477800,51
REST,1.233200,325
GraphQL,1.690800,53
REST,1.008900,326
GraphQL,1.330100,53
REST,0.880200,327
GraphQL,1.538500,52
REST,1.135800,330
GraphQL,1.554200,56
REST,1.009000,327
GraphQL,1.125700,55
REST,0.836300,325
GraphQL,1.630600,55
REST,1.087200,325
GraphQL,1.548800,53
REST,0.976600,325
GraphQL,1.107800,55
REST,0.927400,327
GraphQL,1.502000,54
REST,1.045700,325
GraphQL,1.673800,51
REST,0.997100,327
GraphQL,1.498000,53
REST,1.048700,325
GraphQL,1.973500,53
REST,1.220600,325
GraphQL,1.397600,57
REST,1.264400,324
GraphQL,2.580700,53
REST,1.384600,329
GraphQL,1.340900,56
REST,1.019000,325
GraphQL,1.461900,53
REST,0.959300,329
GraphQL,1.374200,55
REST,0.769600,332
GraphQL,0.982100,57
REST,0.813700,320
GraphQL,1.424100,52
REST,0.900900,333
GraphQL,1.219900,58
REST,0.812100,331
GraphQL,0.958000,57
REST,0.705000,325
GraphQL,1.123700,53
REST,0.918900,328
GraphQL,1.276200,53
REST,0.883400,325
GraphQL,1.107800,55
REST,0.821800,324
GraphQL,1.062900,53
REST,1.096400,329
GraphQL,1.593500,52
REST,1.024000,325
GraphQL,1.259400,55
REST,0.873500,322
GraphQL,1.062500,53
REST,1.061200,327
GraphQL,1.257900,54
REST,0.853500,329
GraphQL,1.111800,57
REST,0.692300,322
GraphQL,0.937400,53
REST,0.828200,327
GraphQL,1.380800,59
REST,0.886200,325
GraphQL,1.237400,53
REST,0.725000,330
GraphQL,0.983800,57
REST,0.707100,325
GraphQL,1.322900,52
REST,1.220200,326
GraphQL,2.060800,53
REST,0.953600,320
GraphQL,1.306200,52
REST,1.261400,328
GraphQL,1.477300,54
REST,0.812600,329
GraphQL,0.974700,55
REST,0.709900,324
GraphQL,0.972200,52
REST,0.728300,325
GraphQL,1.240900,57
REST,0.853000,323
GraphQL,1.117000,53
REST,0.721400,329
GraphQL,1.012600,56
REST,0.691700,328
GraphQL,0.898300,56
REST,0.786600,333
GraphQL,1.162000,58
REST,0.854900,324
GraphQL,1.015300,53
REST,0.688400,325
GraphQL,0.904400,53
REST,0.733100,330
GraphQL,0.936200,56
REST,1.017200,325
GraphQL,1.394600,55
REST,0.942700,324
GraphQL,1.101700,55
REST,0.893200,330
GraphQL,0.935600,57
REST,0.887800,327
GraphQL,1.275700,54
REST,0.865700,327
GraphQL,0.973800,52
REST,0.732800,327
GraphQL,0.853600,54
REST,0.629500,328
GraphQL,1.112200,56
REST,0.870600,330
GraphQL,0.945200,56
REST,0.683500,325
GraphQL,0.913800,53
REST,0.649900,325
GraphQL,0.834800,55
REST,0.709800,320
GraphQL,0.908400,53
REST,0.692500,325
GraphQL,1.144300,52
REST,0.696400,327
GraphQL,0.891100,53
REST,0.670500,328
GraphQL,0.854600,54
REST,0.710600,325
GraphQL,1.074900,51
REST,0.897900,327
GraphQL,1.026300,55
REST,0.660900,326
GraphQL,0.857200,54
REST,0.680500,327
GraphQL,0.834600,53
REST,0.651600,328
GraphQL,0.900200,54
REST,0.706500,324
GraphQL,0.912200,53
REST,0.648200,327
GraphQL,0.824200,52
REST,0.669600,329
GraphQL,0.987500,56
REST,0.729300,326
GraphQL,0.956300,54
REST,0.818400,325
GraphQL,0.888600,55
REST,0.659100,325
GraphQL,0.852800,52
REST,0.640100,327
GraphQL,0.814700,54
REST,0.635000,327
GraphQL,0.785800,55
REST,0.755800,324
GraphQL,0.974500,52
REST,0.678900,327
GraphQL,0.842900,52
REST,0.757600,326
GraphQL,0.852700,54
REST,0.657200,327
GraphQL,0.838200,53
REST,0.713100,325
GraphQL,1.014200,51
REST,0.698300,325
GraphQL,0.908700,55
REST,0.693100,328
GraphQL,0.876300,54
REST,0.675400,322
GraphQL,0.866400,53
REST,0.665300,326
GraphQL,1.134500,57
REST,0.822600,329
GraphQL,1.016800,55
REST,0.757500,326
GraphQL,0.892700,57
REST,0.665800,322
GraphQL,0.825600,53
REST,0.726700,330
GraphQL,1.048200,56
REST,0.710000,329
GraphQL,0.839200,57
REST,0.657600,320
GraphQL,0.825900,53
REST,0.630100,325
GraphQL,0.840500,57
REST,0.652100,327
GraphQL,0.996600,52
REST,0.702100,332
GraphQL,0.928400,57
REST,0.650300,328
GraphQL,0.864500,56
REST,0.642800,323
GraphQL,0.807500,53
REST,0.622900,324
GraphQL,0.928500,52
REST,0.838500,325
GraphQL,0.848500,57
REST,0.657400,329
GraphQL,0.820000,52
REST,0.662300,328
GraphQL,0.785300,56
REST,0.619300,330
GraphQL,0.777300,56
REST,0.869900,324
GraphQL,1.109400,55
REST,0.738300,329
GraphQL,0.914500,55
REST,0.663000,323
GraphQL,0.811000,53
REST,0.631700,322
GraphQL,0.869800,53
REST,0.830300,325
GraphQL,0.945000,51
REST,0.651000,320
GraphQL,0.804700,52
REST,0.624900,328
GraphQL,0.774300,54
REST,0.617300,322
GraphQL,0.772900,53
REST,0.776400,323
GraphQL,0.883700,53
REST,0.673700,325
GraphQL,0.819200,53
REST,0.666500,329
GraphQL,0.794300,57
REST,0.637200,325
GraphQL,0.776300,52
REST,0.624900,326
GraphQL,0.991000,54
REST,0.932100,321
GraphQL,0.942900,50
REST,0.666800,325
GraphQL,0.840000,55
REST,0.644400,328
GraphQL,0.884900,54
REST,0.658400,327
GraphQL,0.939400,53
REST,0.829900,326
GraphQL,0.885100,57
REST,0.694800,329
GraphQL,0.857800,57
REST,0.655300,324
GraphQL,0.801500,53
REST,0.647700,325
GraphQL,0.833800,53
REST,0.878800,328
GraphQL,1.027700,53
REST,0.698200,330
GraphQL,0.838200,53
REST,0.645300,327
GraphQL,0.939100,55
REST,0.642100,326
GraphQL,0.828200,55
REST,0.778000,333
GraphQL,0.889700,58
REST,0.653400,326
GraphQL,0.847200,54
REST,0.634400,326
GraphQL,0.847200,54
REST,0.662500,327
GraphQL,0.811800,55
REST,0.755300,328
GraphQL,1.122800,55
REST,0.751200,327
GraphQL,0.884800,59
REST,0.669100,329
GraphQL,1.033300,56
REST,0.714400,323
GraphQL,0.887300,53
REST,0.906700,322
GraphQL,1.160500,53
REST,0.724100,325
GraphQL,0.891800,57
REST,0.726900,325
GraphQL,0.845200,51
REST,0.674900,326
GraphQL,0.833300,54
REST,0.768400,324
GraphQL,1.036400,53
REST,0.749200,333
GraphQL,0.904000,58
REST,0.867800,328
