url,criado_em,atualizado_em,dias_desde_ultimo_push,dono,estrelas,idade_anos,idade_dias,nome_completo,nome_repo
https://github.com/spring-projects/spring-boot,2012-10-19T15:02:57Z,2026-04-30T17:59:18Z,0,spring-projects,80538,13.5277,4941,spring-projects/spring-boot,spring-boot
https://github.com/fighting41love/funNLP,2018-08-21T11:20:39Z,2024-05-10T07:38:24Z,720,fighting41love,80375,7.6906,2809,fighting41love/funNLP,funNLP
https://github.com/vitejs/vite,2020-04-21T05:03:57Z,2026-04-29T13:48:41Z,1,vitejs,80315,6.0233,2200,vitejs/vite,vite
https://github.com/localsend/localsend,2022-12-16T00:46:07Z,2026-04-30T10:06:01Z,0,localsend,80115,3.3703,1231,localsend/localsend,localsend
https://github.com/junegunn/fzf,2013-10-23T16:04:23Z,2026-04-27T17:02:22Z,3,junegunn,79905,12.5175,4572,junegunn/fzf,fzf
https://github.com/infiniflow/ragflow,2023-12-12T06:13:13Z,2026-04-30T15:13:27Z,0,infiniflow,79311,2.3819,870,infiniflow/ragflow,ragflow
https://github.com/anuraghazra/github-readme-stats,2020-07-09T10:34:22Z,2026-03-31T00:50:07Z,30,anuraghazra,79203,5.807,2121,anuraghazra/github-readme-stats,github-readme-stats
https://github.com/openai/codex,2025-04-13T05:37:54Z,2026-04-30T19:19:17Z,0,openai,79130,1.0459,382,openai/codex,codex
https://github.com/hoppscotch/hoppscotch,2019-08-21T13:15:24Z,2026-04-30T09:17:43Z,0,hoppscotch,79067,6.6913,2444,hoppscotch/hoppscotch,hoppscotch
https://github.com/doocs/advanced-java,2018-10-06T11:38:30Z,2026-04-17T09:01:33Z,13,doocs,78961,7.5647,2763,doocs/advanced-java,advanced-java
https://github.com/mlabonne/llm-course,2023-06-17T22:16:25Z,2026-02-05T13:09:26Z,84,mlabonne,78856,2.8665,1047,mlabonne/llm-course,llm-course
https://github.com/vllm-project/vllm,2023-02-09T11:23:20Z,2026-04-30T17:22:59Z,0,vllm-project,78690,3.2197,1176,vllm-project/vllm,vllm
